Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7.0,99,Yes,9.0,1.0,91.0
4.0,82,No,4.0,2.0,65.0
8.0,51,Yes,7.0,2.0,45.0
5.0,52,Yes,5.0,2.0,36.0
7.0,75,No,8.0,5.0,66.0
3.0,78,No,9.0,6.0,61.0
4.997325309261116,73,Yes,6.5290777158481434,6.0,63.0
8.0,45,Yes,4.0,6.0,42.0
5.0,77,No,8.0,2.0,61.0
4.0,89,No,4.0,0.0,69.0
4.997325309261116,91,No,4.0,5.0,84.0
8.0,79,No,6.0,2.0,73.0
3.0,47,No,9.0,2.0,27.0
6.0,47,No,4.0,2.0,33.0
5.0,79,No,7.0,8.0,68.0
2.0,72,No,6.5290777158481434,3.0,43.0
8.0,73,Yes,6.5290777158481434,4.0,67.0
6.0,83,Yes,7.0,2.0,70.0
2.0,54,Yes,4.0,9.0,30.0
5.0,75,No,7.0,0.0,63.0
1.0,99,Yes,4.0,3.0,71.0
6.0,96,No,6.5290777158481434,0.0,85.0
9.0,74,Yes,7.0,6.0,73.0
1.0,85,No,6.5290777158481434,6.0,57.0
3.0,61,No,6.0,3.0,35.0
7.0,62,Yes,7.0,4.0,49.0
4.0,79,No,8.0,9.0,66.0
9.0,84,Yes,6.0,6.0,83.0
3.0,94,Yes,6.0,5.0,74.0
4.997325309261116,90,Yes,4.0,3.0,74.0
3.0,61,Yes,6.5290777158481434,3.0,39.0
7.0,44,Yes,9.0,1.0,36.0
4.997325309261116,70,Yes,6.0,9.0,58.0
9.0,52,Yes,8.0,1.0,47.0
7.0,67,Yes,9.0,3.0,60.0
2.0,97,Yes,9.0,4.0,74.0
4.0,59,No,8.0,3.0,42.0
4.997325309261116,72,No,8.0,2.0,68.0
2.0,55,Yes,4.0,1.0,32.0
9.0,68,No,5.0,3.0,64.0
5.0,62,No,7.0,4.0,45.0
2.0,63,Yes,6.0,0.0,39.0
4.997325309261116,73,Yes,7.0,0.0,58.0
7.0,46,No,9.0,5.0,36.0
8.0,77,Yes,6.0,4.0,71.0
3.0,76,Yes,4.0,3.0,54.0
1.0,43,Yes,7.0,0.0,17.0
4.0,73,No,6.5290777158481434,6.0,54.0
2.0,81,Yes,4.0,3.0,58.0
8.0,61,No,7.0,2.0,53.0
4.0,44,Yes,7.0,6.0,27.0
2.0,89,Yes,6.0,1.0,65.0
6.0,81,No,9.0,9.0,75.0
6.0,62,Yes,9.0,0.0,52.0
4.0,93,No,8.0,3.0,78.0
6.0,99,No,4.0,7.0,91.0
4.997325309261116,54,Yes,9.0,5.0,33.0
2.0,70,Yes,5.0,8.0,47.0
4.997325309261116,98,No,6.0,0.0,78.0
8.0,48,No,6.0,0.0,38.0
7.0,82,Yes,8.0,4.0,70.0
9.0,97,Yes,6.5290777158481434,5.0,98.0
8.0,92,Yes,4.0,7.0,87.0
5.0,64,Yes,6.0,2.0,49.0
2.0,64,Yes,6.0,5.0,41.0
5.0,88,No,5.0,2.0,71.0
8.0,60,No,4.0,7.0,54.0
9.0,48,No,4.0,3.0,42.0
4.997325309261116,94,No,9.0,1.0,91.0
1.0,87,Yes,8.0,8.0,61.0
9.0,77,No,9.0,9.0,74.0
7.0,61,Yes,4.0,7.0,54.0
4.997325309261116,82,Yes,5.0,5.0,81.0
8.0,62,Yes,4.0,2.0,52.0
1.0,88,Yes,9.0,1.0,65.0
8.0,43,Yes,7.0,3.0,36.0
8.0,68,No,7.0,3.0,61.0
4.997325309261116,54,Yes,5.0,0.0,35.0
1.0,40,Yes,8.0,8.0,15.0
8.0,93,Yes,6.0,9.0,88.0
3.0,69,No,4.0,7.0,45.0
3.0,68,Yes,9.0,6.0,49.0
1.0,59,Yes,8.0,5.0,33.0
4.997325309261116,72,Yes,9.0,2.0,60.0
7.0,80,No,6.5290777158481434,3.0,71.0
9.0,83,Yes,4.0,1.0,81.0
7.0,75,No,6.0,6.0,67.0
9.0,99,No,4.0,1.0,95.0
8.0,61,Yes,6.0,9.0,58.0
2.0,52,No,9.0,0.0,29.0
1.0,46,No,5.0,5.0,21.0
7.0,47,Yes,6.0,3.0,38.0
7.0,67,Yes,8.0,7.0,60.0
8.0,84,Yes,5.0,0.0,76.0
5.0,82,Yes,9.0,8.0,69.0
3.0,48,No,7.0,5.0,30.0
8.0,64,No,5.0,1.0,57.0
6.0,95,Yes,6.0,7.0,81.0
4.997325309261116,55,Yes,5.0,4.0,36.0
1.0,49,Yes,9.0,4.0,25.0
4.997325309261116,50,No,5.0,4.0,27.0
5.0,70,Yes,9.0,6.0,61.0
3.0,51,No,7.0,6.0,34.0
1.0,99,No,6.0,9.0,76.0
5.0,70,No,8.0,6.0,57.0
7.0,53,No,5.0,9.0,45.0
7.0,90,Yes,4.0,1.0,76.0
9.0,83,Yes,8.0,7.0,83.0
3.0,71,Yes,5.0,0.0,50.0
4.997325309261116,89,No,8.0,1.0,81.0
1.0,92,No,4.0,6.0,66.0
4.0,56,Yes,6.5290777158481434,3.0,38.0
4.0,74,No,8.0,9.0,56.0
5.0,40,No,4.0,9.0,25.0
7.0,68,No,4.0,8.0,56.0
7.0,90,Yes,4.0,8.0,82.0
4.0,43,Yes,7.0,2.0,23.0
7.0,62,Yes,9.0,2.0,56.0
3.0,67,No,9.0,8.0,46.0
6.0,55,Yes,4.0,9.0,43.0
2.0,51,Yes,6.5290777158481434,7.0,30.0
9.0,92,Yes,8.0,0.0,92.0
5.0,60,No,4.0,5.0,45.0
6.0,84,No,5.0,6.0,70.0
4.0,56,No,4.0,7.0,36.0
7.0,79,No,4.0,1.0,71.0
9.0,52,No,9.0,0.0,49.0
7.0,91,Yes,6.0,3.0,82.0
4.997325309261116,97,Yes,8.0,0.0,71.0
1.0,71,No,9.0,1.0,43.0
9.0,76,No,8.0,2.0,77.0
9.0,89,Yes,5.0,3.0,86.0
4.0,54,No,7.0,5.0,34.0
9.0,51,No,6.0,7.0,49.0
3.0,88,No,6.5290777158481434,8.0,69.0
7.0,96,No,6.5290777158481434,3.0,84.0
6.0,54,No,8.0,0.0,41.0
8.0,73,Yes,6.0,4.0,68.0
9.0,45,Yes,8.0,4.0,44.0
5.0,56,No,7.0,8.0,41.0
1.0,87,No,6.5290777158481434,5.0,58.0
3.0,88,Yes,4.0,4.0,68.0
8.0,96,No,8.0,9.0,94.0
6.0,59,Yes,4.0,9.0,47.0
8.0,48,No,5.0,4.0,40.0
4.997325309261116,98,Yes,7.0,7.0,100.0
4.0,44,Yes,9.0,0.0,23.0
1.0,62,No,4.0,4.0,36.0
4.997325309261116,72,No,7.0,0.0,47.0
4.0,77,Yes,8.0,6.0,60.0
7.0,95,No,9.0,6.0,83.0
2.0,53,Yes,8.0,9.0,33.0
3.0,56,No,5.0,7.0,36.0
1.0,96,No,8.0,6.0,74.0
5.0,58,No,4.0,8.0,42.0
1.0,72,Yes,5.0,7.0,47.0
8.0,40,Yes,7.0,7.0,31.0
1.0,52,No,5.0,2.0,26.0
1.0,85,Yes,7.0,9.0,58.0
2.0,66,No,6.0,3.0,42.0
2.0,45,Yes,4.0,3.0,18.0
6.0,98,No,4.0,0.0,85.0
7.0,45,Yes,7.0,5.0,36.0
5.0,72,Yes,8.0,1.0,58.0
4.997325309261116,69,Yes,9.0,8.0,45.0
1.0,85,Yes,8.0,0.0,60.0
3.0,74,Yes,6.0,0.0,56.0
